from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_1135,stop_point:SP_1206,2,180
stop_point:SP_1136,stop_point:SP_1136,2,180
stop_point:SP_1136,stop_point:SP_570,2,180
stop_point:SP_1137,stop_point:SP_1137,2,180
stop_point:SP_1137,stop_point:SP_771,2,180
stop_point:SP_1138,stop_point:SP_1084,2,180
stop_point:SP_1138,stop_point:SP_1138,2,180
stop_point:SP_1138,stop_point:SP_1166,2,180
stop_point:SP_1138,stop_point:SP_2012,2,180
stop_point:SP_1139,stop_point:SP_1139,2,180
stop_point:SP_1139,stop_point:SP_2255,2,180
stop_point:SP_1139,stop_point:SP_2890,2,180
stop_point:SP_1139,stop_point:SP_3200,2,180
stop_point:SP_1139,stop_point:SP_3480,2,180
stop_point:SP_1139,stop_point:SP_375,2,180
stop_point:SP_114,stop_point:SP_114,2,180
stop_point:SP_114,stop_point:SP_2404,2,180
stop_point:SP_1140,stop_point:SP_1140,2,180
stop_point:SP_1140,stop_point:SP_2007,2,180
stop_point:SP_1140,stop_point:SP_2035,2,180
stop_point:SP_1140,stop_point:SP_2780,2,180
stop_point:SP_1140,stop_point:SP_3067,2,180
stop_point:SP_1141,stop_point:SP_1141,2,180
stop_point:SP_1141,stop_point:SP_335,2,180
stop_point:SP_1141,stop_point:SP_5397,2,180
stop_point:SP_1141,stop_point:SP_5451,2,180
stop_point:SP_1141,stop_point:SP_5629,2,180
stop_point:SP_1142,stop_point:SP_1142,2,180
stop_point:SP_1142,stop_point:SP_706,2,180
stop_point:SP_1143,stop_point:SP_1143,2,180
stop_point:SP_1144,stop_point:SP_1144,2,180
stop_point:SP_1144,stop_point:SP_856,2,180
stop_point:SP_1147,stop_point:SP_1147,2,180
stop_point:SP_1149,stop_point:SP_1149,2,180
stop_point:SP_1149,stop_point:SP_3162,2,180
stop_point:SP_115,stop_point:SP_1013,2,180
stop_point:SP_115,stop_point:SP_115,2,180
stop_point:SP_115,stop_point:SP_169,2,180
stop_point:SP_115,stop_point:SP_1889,2,180
stop_point:SP_115,stop_point:SP_505,2,180
stop_point:SP_115,stop_point:SP_781,2,180
stop_point:SP_1150,stop_point:SP_1150,2,180
stop_point:SP_1150,stop_point:SP_3470,2,180
stop_point:SP_1150,stop_point:SP_4962,2,180
stop_point:SP_1150,stop_point:SP_982,2,180
stop_point:SP_1151,stop_point:SP_1151,2,180
stop_point:SP_1151,stop_point:SP_3849,2,180
stop_point:SP_1152,stop_point:SP_1152,2,180
stop_point:SP_1152,stop_point:SP_3648,2,180
stop_point:SP_1153,stop_point:SP_1153,2,180
stop_point:SP_1153,stop_point:SP_318,2,180
stop_point:SP_1154,stop_point:SP_1081,2,180
stop_point:SP_1154,stop_point:SP_1154,2,180
stop_point:SP_1155,stop_point:SP_1155,2,180
stop_point:SP_1155,stop_point:SP_615,2,180
stop_point:SP_1156,stop_point:SP_1156,2,180
stop_point:SP_1156,stop_point:SP_1834,2,180
stop_point:SP_1159,stop_point:SP_1159,2,180
stop_point:SP_1159,stop_point:SP_2068,2,180
stop_point:SP_116,stop_point:SP_116,2,180
stop_point:SP_116,stop_point:SP_324,2,180
stop_point:SP_1161,stop_point:SP_1161,2,180
stop_point:SP_1161,stop_point:SP_2058,2,180
stop_point:SP_1163,stop_point:SP_1163,3,
stop_point:SP_1163,stop_point:SP_2081,3,
stop_point:SP_1164,stop_point:SP_1164,2,180
stop_point:SP_1164,stop_point:SP_1471,2,180
stop_point:SP_1165,stop_point:SP_1165,2,180
stop_point:SP_1166,stop_point:SP_1084,2,180
stop_point:SP_1166,stop_point:SP_1138,2,180
stop_point:SP_1166,stop_point:SP_1166,2,180
stop_point:SP_1166,stop_point:SP_2012,2,180
stop_point:SP_1168,stop_point:SP_1168,2,180
stop_point:SP_1168,stop_point:SP_3348,2,180
stop_point:SP_1169,stop_point:SP_1169,2,180
stop_point:SP_1169,stop_point:SP_3660,2,180
stop_point:SP_117,stop_point:SP_117,2,180
stop_point:SP_117,stop_point:SP_234,2,180
stop_point:SP_1170,stop_point:SP_1170,2,180
stop_point:SP_1170,stop_point:SP_143,2,180
stop_point:SP_1170,stop_point:SP_3424,2,180
stop_point:SP_1171,stop_point:SP_1171,2,180
stop_point:SP_1171,stop_point:SP_2210,2,180
stop_point:SP_1172,stop_point:SP_1172,2,180
stop_point:SP_1172,stop_point:SP_3183,2,180
stop_point:SP_1173,stop_point:SP_1173,2,180
stop_point:SP_1173,stop_point:SP_3647,2,180
stop_point:SP_1174,stop_point:SP_1174,2,180
stop_point:SP_1174,stop_point:SP_205,2,180
stop_point:SP_1175,stop_point:SP_1175,2,180
stop_point:SP_1175,stop_point:SP_2016,2,180
stop_point:SP_1175,stop_point:SP_2297,2,180
stop_point:SP_1175,stop_point:SP_2490,2,180
stop_point:SP_1175,stop_point:SP_3102,2,180
stop_point:SP_1175,stop_point:SP_4090,2,180
stop_point:SP_1176,stop_point:SP_1176,2,180
stop_point:SP_1176,stop_point:SP_959,2,180
stop_point:SP_1178,stop_point:SP_1178,2,180
stop_point:SP_1178,stop_point:SP_2465,2,180
stop_point:SP_118,stop_point:SP_118,2,180
stop_point:SP_118,stop_point:SP_4721,2,180
stop_point:SP_118,stop_point:SP_997,2,180
stop_point:SP_1181,stop_point:SP_1181,2,180
stop_point:SP_1182,stop_point:SP_1182,2,180
stop_point:SP_1182,stop_point:SP_2604,2,180
stop_point:SP_1185,stop_point:SP_1185,2,180
stop_point:SP_1185,stop_point:SP_439,2,180
stop_point:SP_1186,stop_point:SP_1186,2,180
stop_point:SP_1187,stop_point:SP_1187,2,180
stop_point:SP_1187,stop_point:SP_144,2,180
stop_point:SP_1187,stop_point:SP_2185,2,180
stop_point:SP_1187,stop_point:SP_2228,2,180
stop_point:SP_1187,stop_point:SP_2466,2,180
stop_point:SP_1187,stop_point:SP_3676,2,180
stop_point:SP_1187,stop_point:SP_3684,2,180
stop_point:SP_1188,stop_point:SP_1188,2,180
stop_point:SP_1188,stop_point:SP_1210,2,180
stop_point:SP_1188,stop_point:SP_2123,2,180
stop_point:SP_1188,stop_point:SP_3368,2,180
stop_point:SP_1188,stop_point:SP_3759,2,180
stop_point:SP_1188,stop_point:SP_988,2,180
stop_point:SP_119,stop_point:SP_119,2,180
stop_point:SP_119,stop_point:SP_2099,2,180
stop_point:SP_1190,stop_point:SP_1190,2,180
stop_point:SP_1190,stop_point:SP_3784,2,180
stop_point:SP_1191,stop_point:SP_1191,2,180
stop_point:SP_1191,stop_point:SP_2838,2,180
stop_point:SP_1192,stop_point:SP_1192,2,180
stop_point:SP_1192,stop_point:SP_3833,2,180
stop_point:SP_1194,stop_point:SP_1194,2,180
stop_point:SP_1194,stop_point:SP_2583,2,180
stop_point:SP_1196,stop_point:SP_1196,2,180
stop_point:SP_1196,stop_point:SP_3688,2,180
stop_point:SP_1197,stop_point:SP_1197,2,180
stop_point:SP_1197,stop_point:SP_3184,2,180
stop_point:SP_1197,stop_point:SP_4466,2,180
stop_point:SP_1197,stop_point:SP_5168,2,180
stop_point:SP_1197,stop_point:SP_5169,2,180
stop_point:SP_1198,stop_point:SP_1198,2,180
stop_point:SP_1198,stop_point:SP_1845,2,180
stop_point:SP_1198,stop_point:SP_214,2,180
stop_point:SP_1198,stop_point:SP_3707,2,180
stop_point:SP_12,stop_point:SP_12,2,180
stop_point:SP_12,stop_point:SP_1758,2,180
stop_point:SP_120,stop_point:SP_120,2,180
stop_point:SP_120,stop_point:SP_2436,2,180
stop_point:SP_1202,stop_point:SP_1202,2,180
stop_point:SP_1202,stop_point:SP_1785,2,180
stop_point:SP_1203,stop_point:SP_1203,2,180
stop_point:SP_1203,stop_point:SP_2619,2,180
stop_point:SP_1204,stop_point:SP_1204,2,180
stop_point:SP_1204,stop_point:SP_1731,2,180
stop_point:SP_1206,stop_point:SP_1135,2,180
stop_point:SP_1206,stop_point:SP_1206,2,180
stop_point:SP_1207,stop_point:SP_1207,2,180
stop_point:SP_1207,stop_point:SP_1217,2,180
stop_point:SP_1207,stop_point:SP_2802,2,180
stop_point:SP_1207,stop_point:SP_2925,2,180
stop_point:SP_1207,stop_point:SP_3392,2,180
stop_point:SP_1207,stop_point:SP_3496,2,180
stop_point:SP_1208,stop_point:SP_1208,2,180
stop_point:SP_1208,stop_point:SP_307,2,180
stop_point:SP_1210,stop_point:SP_1188,2,180
stop_point:SP_1210,stop_point:SP_1210,2,180
stop_point:SP_1210,stop_point:SP_2123,2,180
stop_point:SP_1210,stop_point:SP_3368,2,180
stop_point:SP_1210,stop_point:SP_3759,2,180
stop_point:SP_1210,stop_point:SP_988,2,180
stop_point:SP_1211,stop_point:SP_1211,2,180
stop_point:SP_1211,stop_point:SP_3622,2,180
stop_point:SP_1212,stop_point:SP_1212,2,180
stop_point:SP_1212,stop_point:SP_1386,2,180
stop_point:SP_1214,stop_point:SP_1214,2,180
stop_point:SP_1214,stop_point:SP_4961,2,180
stop_point:SP_1214,stop_point:SP_4963,2,180
stop_point:SP_1214,stop_point:SP_731,2,180
stop_point:SP_1215,stop_point:SP_1215,2,180
stop_point:SP_1215,stop_point:SP_2710,2,180
stop_point:SP_1217,stop_point:SP_1207,2,180
stop_point:SP_1217,stop_point:SP_1217,2,180
stop_point:SP_1217,stop_point:SP_2802,2,180
stop_point:SP_1217,stop_point:SP_2925,2,180
stop_point:SP_1217,stop_point:SP_3392,2,180
stop_point:SP_1217,stop_point:SP_3496,2,180
stop_point:SP_1218,stop_point:SP_1218,2,180
stop_point:SP_1218,stop_point:SP_1438,2,180
stop_point:SP_1220,stop_point:SP_1220,2,180
stop_point:SP_1220,stop_point:SP_301,2,180
